timestamp,mmdd,title,category,reason_code,attempts,duration_s,error_detail
2026-02-26T20:20:24Z,0210,Darkly comic tale of envy and revenge in the Insta age,REVIEWS,SUBPROCESS_ERROR,3,45.0,exit code 1
2026-02-27T14:13:28Z,0511,Human Brains and Evolution,?,TITLE_WORD_VIOLATION,1,4.2,Hidden words contain title words: ['brains']
2026-02-27T14:13:30Z,0511,Human Brains and Evolution,?,GENERATION_ERROR,1,1.9,"Error code: 402 - {'error': {'message': 'Provider returned error', 'code': 402, 'metadata': {'raw': '{""error"":""API key USD spend limit exceeded. Your account may still have USD balance, but this API key has reached its configured USD spending limit.""}', 'provider_name': 'Venice', 'is_byok': False}},"
2026-02-27T14:13:56Z,0711,Myth - Brain damage is always permanent,?,TITLE_WORD_VIOLATION,1,3.5,Hidden words contain title words: ['brain']
2026-02-27T14:13:59Z,0711,Myth - Brain damage is always permanent,?,RATE_LIMIT,1,2.4,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'p"
2026-02-27T14:14:03Z,0711,Myth - Brain damage is always permanent,?,TITLE_WORD_VIOLATION,1,3.1,Hidden words contain title words: ['brain']
2026-02-27T14:14:07Z,0711,Myth - Brain damage is always permanent,?,RATE_LIMIT,1,4.1,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'p"
2026-02-27T14:14:13Z,0711,Myth - Brain damage is always permanent,?,TITLE_WORD_VIOLATION,1,4.2,Hidden words contain title words: ['brain']
2026-02-27T14:14:19Z,0711,Myth - Brain damage is always permanent,?,RATE_LIMIT,1,5.6,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'p"
2026-02-27T14:14:19Z,0711,Myth - Brain damage is always permanent,HUMAN-BRAIN,EXHAUSTED:RATE_LIMIT,3,27.3,"❌ Unexpected error: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settin"
2026-02-27T14:15:00Z,1111,The average human brain size is growing,?,TITLE_WORD_VIOLATION,1,3.4,Hidden words contain title words: ['brain']
2026-02-27T14:15:03Z,1111,The average human brain size is growing,?,RATE_LIMIT,1,2.6,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'p"
2026-02-27T14:15:07Z,1111,The average human brain size is growing,?,TITLE_WORD_VIOLATION,1,3.6,Hidden words contain title words: ['brain']
2026-02-27T14:15:12Z,1111,The average human brain size is growing,?,RATE_LIMIT,1,4.4,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'p"
